feature,importance_high,importance_low,importance_dir
fxi_change_pct,0.103000395,0.09051066,0.041529506
day_of_week,0.09005735,0.02142643,0.070727274
hsi_volatility,0.083484426,0.05435191,0.07146447
spx_close,0.08345361,0.04201094,0.06132346
usdcnh,0.06576953,0.060322903,0.046872236
hsi_prev_close,0.065673985,0.020072073,0.07366836
ndx_change_pct,0.0653519,0.040294748,0.047402807
hsi_ma5,0.06375564,0.02597397,0.05769518
ndx_close,0.057677865,0.21012083,0.0578851
fxi_close,0.057048965,0.0623122,0.0745625
vix,0.05302737,0.027365332,0.10056765
usdcnh_change_pct,0.052889366,0.0616378,0.035291135
vix_change_pct,0.05243053,0.042792987,0.052636366
hsi_ema20,0.04205329,0.045536827,0.07277117
spx_change_pct,0.03398553,0.14595252,0.062465526
hsi_change_pct,0.030340223,0.049317814,0.07313731
